timestamp,symbol,price 
22-Apr-25,AAPL,199.74
21-Apr-25,AAPL,193.16
17-Apr-25,AAPL,196.98
16-Apr-25,AAPL,194.27
15-Apr-25,AAPL,202.14
14-Apr-25,AAPL,202.52
11-Apr-25,AAPL,198.15
10-Apr-25,AAPL,190.42
9-Apr-25,AAPL,198.85
8-Apr-25,AAPL,172.42
7-Apr-25,AAPL,181.46
4-Apr-25,AAPL,188.38
3-Apr-25,AAPL,203.19
2-Apr-25,AAPL,223.89
1-Apr-25,AAPL,223.19
31-Mar-25,AAPL,222.13
28-Mar-25,AAPL,217.9
27-Mar-25,AAPL,223.85
26-Mar-25,AAPL,221.53
25-Mar-25,AAPL,223.75
24-Mar-25,AAPL,220.73
21-Mar-25,AAPL,218.27
20-Mar-25,AAPL,214.1
19-Mar-25,AAPL,215.24
18-Mar-25,AAPL,212.69
17-Mar-25,AAPL,214
14-Mar-25,AAPL,213.49
13-Mar-25,AAPL,209.68
12-Mar-25,AAPL,216.98
11-Mar-25,AAPL,220.84
10-Mar-25,AAPL,227.48
7-Mar-25,AAPL,239.07
6-Mar-25,AAPL,235.33
5-Mar-25,AAPL,235.74
4-Mar-25,AAPL,235.93
3-Mar-25,AAPL,238.03
28-Feb-25,AAPL,241.84
27-Feb-25,AAPL,237.3
26-Feb-25,AAPL,240.36
25-Feb-25,AAPL,247.04
24-Feb-25,AAPL,247.1
21-Feb-25,AAPL,245.55
20-Feb-25,AAPL,245.83
19-Feb-25,AAPL,244.87
18-Feb-25,AAPL,244.47
14-Feb-25,AAPL,244.6
13-Feb-25,AAPL,241.53
12-Feb-25,AAPL,236.87
11-Feb-25,AAPL,232.62
10-Feb-25,AAPL,0.25 Dividend
10-Feb-25,AAPL,227.65
7-Feb-25,AAPL,227.63
6-Feb-25,AAPL,233.22
5-Feb-25,AAPL,232.47
4-Feb-25,AAPL,232.8
3-Feb-25,AAPL,228.01
31-Jan-25,AAPL,236
30-Jan-25,AAPL,237.59
29-Jan-25,AAPL,239.36
28-Jan-25,AAPL,238.26
27-Jan-25,AAPL,229.86
24-Jan-25,AAPL,222.78
23-Jan-25,AAPL,223.66
22-Jan-25,AAPL,223.83
21-Jan-25,AAPL,222.64
17-Jan-25,AAPL,229.98
